date,category,title,amount
2022-07-03,eletrônicos,Amazon 8/12,39
2022-07-03,transporte,Baterias Gustavo 6/6,66.66
2022-07-03,viagem,123 Viagens e Turismo 2/12,279.48
2022-07-03,serviços,Aliexpress 2/6,57.82
2022-07-03,eletrônicos,Iphone 7/12,424.91
2022-07-03,vestuário,Manto da Massa 3/4,118.68
2022-07-03,vestuário,Lojas Renner Perfume Kiki 3/3,126.63
2022-07-03,serviços,Ebi-Escolas Bilingues 6/8,65.26
2022-07-03,educação,Ebanx*Cambly 2/12,199.44
2022-07-03,serviços,Aliexpress 2/12,122.55
2022-07-03,vestuário,Decathlon Belo Horizon 2/3,96.64
2022-07-03,vestuário,Decathlon Bh Sul 3/5,57.99
2022-07-03,supermercado,Sup Epa Quarenta e Doi 2/2,77.13
2022-07-03,lazer,Clube Atletico Mineir 10/12,55
2022-07-03,outros,Convecao Bat*Central L 6/8,161.33
2022-07-03,eletrônicos,Casasbahia. Fraude 3/10,59.8
2022-07-04,,Pagamento recebido,-5000.8
2022-07-05,vestuário,Sef Comercio 1/2,74.95
2022-07-05,casa,Villefort Caicara,1023
2022-07-05,transporte,Pb Administradora de,7.5
2022-07-05,serviços,Google Storage,9.99
2022-07-06,restaurante,Padaria e Confeitaria,36.61
2022-07-06,restaurante,Comercial Nunes,5.5
2022-07-07,outros,Almoço Douglas ,23.5
2022-07-07,eletrônicos,Sacolão ,95.09
2022-07-08,restaurante,Restaurante Dedo de Mo,18.5
2022-07-08,lazer,ingresso galo,91
2022-07-08,supermercado,Super Nosso,31
2022-07-09,restaurante,Cristina Bifao,27
2022-07-09,restaurante,Padaria,2.35
2022-07-10,vestuário,Lojas Rede,22.99
2022-07-10,restaurante,Cristina,80
2022-07-11,restaurante,Tradição Churrasco,142.43
2022-07-11,eletrônicos,Película Capa Iphone,50
2022-07-11,transporte,Estacionamento ,24.5
2022-07-11,restaurante,Tropeiro Real,25
2022-07-11,outros,Roupa Miguel,60
2022-07-12,eletrônicos,Sacolão ,139.22
2022-07-12,saúde,Raia,74.94
2022-07-12,supermercado,Sup Epa Quarenta e Doi,67
2022-07-13,supermercado,Momento Super Nosso,8.38
2022-07-13,transporte,Posto Gall,33.25
2022-07-13,serviços,Netflix.Com,55.9
2022-07-14,supermercado,Na Brasa Boutique de C,51.8
2022-07-14,supermercado,Sup Epa Quarenta e Doi,19
2022-07-14,serviços,Mercadolivre*Vix3d,36.6
2022-07-15,restaurante,Ifood ,7.16
2022-07-17,lazer,Guanabara Centro de D,6
2022-07-17,restaurante,Guanabara Lanches,12
2022-07-17,lazer,Guanabara Centro de D,50
2022-07-18,casa,Mercadolivre gilette 1/2,76.51
2022-07-19,casa,Lava Louças  1/3,310
2022-07-19,serviços,Barbearia Torres,55
2022-07-21,supermercado,Sup Epa Quarenta e Doi,10
2022-07-21,transporte,Estacionamento Oi Bh,12.5
2022-07-21,restaurante,Companhia da Garapa,10.81
2022-07-21,restaurante,Mp *Restbifao,71
2022-07-21,eletrônicos,Marilia Acessorios 1/2,80
2022-07-22,viagem,Estacionamento Aeroporto,119
2022-07-22,serviços,Pag*Spotsalestecnolog,66.8
2022-07-23,supermercado,Compra Supermercado Londrina,135.75
2022-07-24,restaurante,Festa Junina,8
2022-07-24,restaurante,Feijoada ,24.69
2022-07-24,restaurante,Festa Junina,21
2022-07-24,restaurante,Festa Junina,20
2022-07-24,restaurante,Festa Junina,13
2022-07-26,eletrônicos,Lojas Americanas,32.7
2022-07-26,transporte,Estacionamento Shop. Londrina,14
2022-07-26,supermercado,Bauducco Londrina,41.5
2022-07-26,supermercado,Propolis,26
2022-07-27,restaurante,Panetteria Palhano Pa,27.64
2022-07-28,restaurante,Ifood *Ifood,72.89
2022-07-28,transporte,Auto Posto Jardins,92.41
2022-07-29,restaurante,Ifood *Ifood,137.79
2022-07-29,supermercado,Sup Epa Quarenta e Doi,24.5
2022-07-29,eletrônicos,Pag*Denisegomesde,10
2022-07-29,lazer,Pag*Atleticomg,90.3
2022-07-29,restaurante,Padaria e Confeitaria,18.73
2022-07-29,restaurante,Mp *Restbifao,75
2022-07-31,outros,Pag*Cleantesdealmeida,9
2022-07-31,outros,Pag*Cleantesdealmeida,10
